fit_kind,apply_s1_correction,theta_offset_deg,structure2_scale,structure1_scale,structure1_condition,Br_L2_left,Bt_L2_left,Br_L2_middle,Bt_L2_middle,Br_L2_right,Bt_L2_right,Br_L2_edge,Bt_L2_edge,Br_L2_all,Bt_L2_all,Br_rms,Bt_rms
edge_Br_only_kS1,False,-90.0,1.0,-1.4622884924217348,259963235315626.12,0.2957043258814858,0.6207534616276221,0.17942446765167022,1.0792473664389624,0.296072014914202,0.6167958334350077,0.2958883910747374,0.6187683700833037,0.19933131802027831,0.6231795411457993,0.4395122496125228,0.022058445563597116
edge_BrBt_kS1,False,-90.0,1.0,-1.4529421897069916,259963235315626.12,0.29570971377235994,0.6206311777625567,0.17830184463790938,1.080625439963619,0.2960738024752256,0.6166604370580363,0.29589197608541573,0.6186395203450624,0.19845999609004789,0.6230692359276212,0.44012738456586664,0.02209150483778669
all_BrBt_kS1,False,-90.0,1.0,-0.29543133681495404,259963235315626.12,0.3473774884435532,0.6189688856708613,0.04234273159990897,1.2852131771132353,0.34722423478747466,0.6133249905853662,0.34730080189543117,0.6161399360050014,0.1340797366879357,0.6233312088242627,0.5163398123150331,0.026195955213397206
edge_BrBt_cS2_kS1,False,-90.0,18.292369773683145,-132.15211997280025,259963235315626.12,0.026864352649550605,0.22085385029450996,1.5653820564549559,24.308695807137656,0.02714197390291917,0.22171940658382105,0.02700364354926398,0.2212891165351328,1.4549097585023307,2.046680134391623,1.2122390993447925,0.0729795130052768
all_BrBt_cS2_kS1,False,-90.0,1.8465104688936453,-7.155046235357014,259963235315626.12,0.3023734540017048,0.5864382183814213,0.05801084559045494,1.8600798845137685,0.3024279735399499,0.5815944361285823,0.30240073925196165,0.5840097934132497,0.1239445964853848,0.6024282129360073,0.5187983658799739,0.02513014403765802
edge_Br_only_kS1,False,-88.0,1.0,-1.385923193897813,259963235315626.12,0.2692280693915411,0.6052721983198972,0.1695141337001153,1.1013233851419004,0.33195371432281345,0.6317608608748725,0.3022503690722831,0.6187214890140472,0.19303934471171744,0.6234038954569675,0.44533724976326455,0.02243319732456317
edge_BrBt_kS1,False,-88.0,1.0,-1.37754424948869,259963235315626.12,0.2692405638563094,0.6052906358233267,0.16851255141960333,1.102380742603129,0.33194889304336817,0.6315351243034911,0.30225327904973526,0.6186146791237174,0.19228099283310618,0.6233117271140219,0.4458829322306496,0.02246207974754108
all_BrBt_kS1,False,-88.0,1.0,-0.2890327448015149,259963235315626.12,0.33857587231960146,0.6168080821808719,0.041482777980120046,1.2851333147478874,0.35827039586932685,0.6160958599321439,0.3485710170776433,0.6164503748038026,0.13429631456587,0.6236347652752408,0.5169044240388609,0.026237346133356678
edge_BrBt_cS2_kS1,False,-88.0,0.8595342332780607,-0.36876730012597064,259963235315626.12,0.2904603433180817,0.6214306628085046,0.18700064150450962,1.0323668080270656,0.30685501557289674,0.6256427863379422,0.29877744566259073,0.6235503297807992,0.2058275002406864,0.6273421936851886,0.43643465742388204,0.022132618442699724
all_BrBt_cS2_kS1,False,-88.0,1.1094530188632052,-1.1693617294353853,259963235315626.12,0.3054762304105732,0.6057711750448891,0.039761986989171015,1.3147981585846398,0.38500298558217777,0.6203311437277302,0.34755710321409117,0.6131291142660371,0.13348633646725688,0.6208104161075012,0.5180780683505313,0.0261605306599746
